Timestamp,Input Tokens,Output Tokens,Reasoning Tokens,Total Tokens(input + output),Successful Requests,Total Cost (USD)
2025-12-05 16:08:25,52880,4840,721,57720,3,0.0
2025-12-05 16:14:47,50655,4062,1577,54717,3,0.0
2025-12-05 16:26:20,54291,4770,2408,59061,4,0.0
2025-12-05 16:35:25,51985,4693,826,56678,3,0.0
2025-12-05 16:44:29,52849,3944,793,56793,3,0.0
2025-12-05 16:49:09,95660,4930,1809,100590,3,0.0
2025-12-05 16:51:30,141067,4984,867,146051,5,0.0
2025-12-05 16:53:37,52645,3881,1020,56526,3,0.0
